source,receiver,distance_km,receiver_latitude,receiver_longitude,path
1D.4529,1D.4528,0.344828,46.143200,-122.326202,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4528/1D.4529/stack_pws.h5
1D.4529,1D.4527,0.805096,46.144901,-122.320602,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4527/1D.4529/stack_pws.h5
1D.4529,1D.4526,1.153333,46.146599,-122.316803,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4526/1D.4529/stack_pws.h5
1D.4529,1D.4525,1.521058,46.148399,-122.312798,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4525/1D.4529/stack_pws.h5
1D.4529,1D.4524,1.929399,46.150002,-122.307999,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4524/1D.4529/stack_pws.h5
1D.4529,1D.4523,2.212634,46.149101,-122.303200,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4523/1D.4529/stack_pws.h5
1D.4529,1D.4522,2.519874,46.147202,-122.297997,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4522/1D.4529/stack_pws.h5
1D.4529,1D.4521,2.840701,46.147499,-122.293800,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4521/1D.4529/stack_pws.h5
1D.4529,1D.4520,3.157988,46.146301,-122.289200,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4520/1D.4529/stack_pws.h5
1D.4529,1D.4411,3.586632,46.146500,-122.283600,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4411/1D.4529/stack_pws.h5
1D.4529,1D.4412,3.855357,46.146198,-122.279999,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4412/1D.4529/stack_pws.h5
1D.4529,1D.4410,4.208859,46.147701,-122.275703,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4410/1D.4529/stack_pws.h5
1D.4529,1D.4414,4.216759,46.151600,-122.276901,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4414/1D.4529/stack_pws.h5
1D.4529,1D.4409,4.408515,46.145302,-122.272598,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4409/1D.4529/stack_pws.h5
1D.4529,1D.4415,4.460698,46.153000,-122.274200,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4415/1D.4529/stack_pws.h5
1D.4529,1D.4419,4.540930,46.150398,-122.272102,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4419/1D.4529/stack_pws.h5
1D.4529,1D.4408,4.556052,46.143902,-122.270500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4408/1D.4529/stack_pws.h5
1D.4529,1D.4416,4.695259,46.154499,-122.271698,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4416/1D.4529/stack_pws.h5
1D.4529,1D.4417,4.698630,46.155399,-122.272102,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4417/1D.4529/stack_pws.h5
1D.4529,1D.4420,4.770882,46.153000,-122.269997,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4420/1D.4529/stack_pws.h5
1D.4529,1D.4407,4.809204,46.142200,-122.267097,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4407/1D.4529/stack_pws.h5
1D.4529,1D.4421,4.957328,46.155102,-122.268402,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4421/1D.4529/stack_pws.h5
1D.4529,1D.4406,5.139165,46.141800,-122.262802,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4406/1D.4529/stack_pws.h5
1D.4529,1D.4422,5.169036,46.157299,-122.266602,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4422/1D.4529/stack_pws.h5
1D.4529,1D.4423,5.340164,46.159401,-122.265404,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4423/1D.4529/stack_pws.h5
1D.4529,1D.4405,5.477781,46.140999,-122.258400,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4405/1D.4529/stack_pws.h5
1D.4529,1D.4404,5.778976,46.141998,-122.254501,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4404/1D.4529/stack_pws.h5
1D.4529,1D.4403,6.070932,46.141399,-122.250702,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4403/1D.4529/stack_pws.h5
1D.4529,1D.4402,6.357253,46.142300,-122.247002,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4402/1D.4529/stack_pws.h5
1D.4529,1D.4401,6.628323,46.142799,-122.243500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4401/1D.4529/stack_pws.h5
1D.4529,1D.4244,6.685034,46.158199,-122.246300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4244/1D.4529/stack_pws.h5
1D.4529,1D.4243,6.748779,46.155800,-122.244499,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4243/1D.4529/stack_pws.h5
1D.4529,1D.4242,6.833603,46.154099,-122.242798,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4242/1D.4529/stack_pws.h5
1D.4529,1D.4241,6.852865,46.152199,-122.241997,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4241/1D.4529/stack_pws.h5
1D.4529,1D.4400,6.963555,46.143799,-122.239197,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4400/1D.4529/stack_pws.h5
1D.4529,1D.4240,7.013146,46.150600,-122.239502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4240/1D.4529/stack_pws.h5
1D.4529,1D.4239,7.224873,46.150501,-122.236702,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4239/1D.4529/stack_pws.h5
1D.4529,1D.4237,7.229106,46.146599,-122.236000,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4237/1D.4529/stack_pws.h5
1D.4529,1D.4236,7.234747,46.148499,-122.236198,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4236/1D.4529/stack_pws.h5
1D.4529,1D.4238,7.287976,46.144100,-122.235001,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4238/1D.4529/stack_pws.h5
1D.4529,1D.4235,7.293330,46.150002,-122.235703,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4235/1D.4529/stack_pws.h5
1D.4529,1D.4234,7.426411,46.150700,-122.234100,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4234/1D.4529/stack_pws.h5
1D.4529,1D.4233,7.463523,46.152000,-122.233902,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4233/1D.4529/stack_pws.h5
1D.4529,1D.4232,7.514890,46.153099,-122.233498,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4232/1D.4529/stack_pws.h5
1D.4529,1D.4231,7.592536,46.154999,-122.233002,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4231/1D.4529/stack_pws.h5
1D.4529,1D.4399,7.661998,46.148998,-122.230698,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4399/1D.4529/stack_pws.h5
1D.4529,1D.4230,7.688349,46.156502,-122.232201,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4230/1D.4529/stack_pws.h5
1D.4529,1D.4397,7.708821,46.143501,-122.229500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4397/1D.4529/stack_pws.h5
1D.4529,1D.4229,7.877065,46.158298,-122.230301,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4229/1D.4529/stack_pws.h5
1D.4529,1D.4396,8.066807,46.141800,-122.224800,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4396/1D.4529/stack_pws.h5
1D.4529,1D.4395,8.314828,46.139500,-122.221603,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4395/1D.4529/stack_pws.h5
1D.4529,1D.4180,9.018843,46.138500,-122.212502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4180/1D.4529/stack_pws.h5
1D.4529,1D.4179,9.216545,46.139400,-122.209900,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4179/1D.4529/stack_pws.h5
1D.4529,1D.4178,9.268933,46.140400,-122.209198,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4178/1D.4529/stack_pws.h5
1D.4529,1D.4182,9.438705,46.139999,-122.207001,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4182/1D.4529/stack_pws.h5
1D.4529,1D.4177,9.469025,46.141300,-122.206596,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4177/1D.4529/stack_pws.h5
1D.4529,1D.4176,9.649090,46.143398,-122.204300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4176/1D.4529/stack_pws.h5
1D.4529,1D.4183,9.677528,46.139900,-122.203903,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4183/1D.4529/stack_pws.h5
1D.4529,1D.4175,9.911766,46.143600,-122.200897,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4175/1D.4529/stack_pws.h5
1D.4529,1D.4184,9.924524,46.139801,-122.200699,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4184/1D.4529/stack_pws.h5
1D.4529,1D.4185,10.109669,46.139500,-122.198303,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4185/1D.4529/stack_pws.h5
1D.4529,1D.4174,10.167960,46.144299,-122.197601,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4174/1D.4529/stack_pws.h5
1D.4529,1D.4207,10.219538,46.138802,-122.196899,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4207/1D.4529/stack_pws.h5
1D.4529,1D.4186,10.294231,46.139801,-122.195900,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4186/1D.4529/stack_pws.h5
1D.4529,1D.4200,10.305026,46.138500,-122.195801,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4200/1D.4529/stack_pws.h5
1D.4529,1D.4173,10.342079,46.145302,-122.195396,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4173/1D.4529/stack_pws.h5
1D.4529,1D.4187,10.364775,46.139198,-122.195000,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4187/1D.4529/stack_pws.h5
1D.4529,1D.4172,10.538422,46.147301,-122.193001,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4172/1D.4529/stack_pws.h5
1D.4529,1D.4171,10.610998,46.145302,-122.191902,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4171/1D.4529/stack_pws.h5
1D.4529,1D.4156,10.677397,46.157398,-122.192902,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4156/1D.4529/stack_pws.h5
1D.4529,1D.4170,10.790163,46.143799,-122.189499,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4170/1D.4529/stack_pws.h5
1D.4529,1D.4157,10.910538,46.156399,-122.189598,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4157/1D.4529/stack_pws.h5
1D.4529,1D.4169,11.049885,46.142799,-122.186096,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4169/1D.4529/stack_pws.h5
1D.4529,1D.4158,11.122384,46.155399,-122.186600,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4158/1D.4529/stack_pws.h5
1D.4529,1D.4162,11.123184,46.148399,-122.185501,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4162/1D.4529/stack_pws.h5
1D.4529,1D.4161,11.127884,46.149799,-122.185600,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4161/1D.4529/stack_pws.h5
1D.4529,1D.4159,11.183254,46.153301,-122.185402,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4159/1D.4529/stack_pws.h5
1D.4529,1D.4160,11.190760,46.151402,-122.184998,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4160/1D.4529/stack_pws.h5
1D.4529,1D.4163,11.204561,46.146900,-122.184303,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4163/1D.4529/stack_pws.h5
1D.4529,1D.4008,11.996242,46.158901,-122.175903,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4008/1D.4529/stack_pws.h5
1D.4529,1D.4328,12.182027,46.139500,-122.171402,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4328/1D.4529/stack_pws.h5
1D.4529,1D.4009,12.196077,46.158600,-122.173203,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4009/1D.4529/stack_pws.h5
1D.4529,1D.4330,12.210554,46.144798,-122.171097,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4330/1D.4529/stack_pws.h5
